[0 0 0 0],[0.00781158 0.         0.         0.         0.00781232]
[3 0 0 0],[0.01562465 0.01562393 0.         0.         0.0078125 ]
[4 0 0 0],[0.01562499 0.01562478 0.         0.         0.00781249]
[0 3 0 0],[0.01562375 0.         0.         0.         0.00171348]
[0 1 0 0],[0.0045567  0.         0.         0.         0.00450308]
[0 4 0 0],[0.00353656 0.         0.         0.         0.00192247]
[3 4 0 0],[0.         0.         0.         0.         0.00220867]
[3 4 3 0],[0.01290078 0.         0.         0.         0.00918598]
[4 4 3 0],[0.01833445 0.         0.         0.         0.01273102]
[1 4 3 0],[0.01750157 0.         0.         0.         0.00540223]
[1 1 3 0],[0.01310845 0.         0.         0.         0.00840627]
[7 1 3 0],[0.06246395 0.         0.         0.         0.00710916]
[7 1 3 3],[0.         0.12495434 0.         0.         0.0222549 ]
[1 1 3 3],[0.         0.02846019 0.         0.         0.03928149]
[0 1 3 3],[0.01041358 0.00855282 0.         0.         0.00780561]
[3 1 3 3],[0.         0.         0.         0.         0.01861576]
[3 4 3 3],[0.         0.         0.         0.         0.02541082]
[7 4 3 3],[0.         0.12348733 0.         0.         0.04360959]
[1 4 3 3],[0.         0.         0.         0.         0.06705129]
[6 1 3 3],[0.      0.25    0.      0.      0.09375]
[6 4 3 3],[0.    0.25  0.    0.    0.125]
[6 3 3 3],[0.    0.25  0.    0.    0.125]
[6 6 3 3],[0.         0.5        0.         0.         0.24975586]
[6 6 1 3],[0.         0.5        0.         0.         0.24993682]
[6 6 7 3],[0.         0.5        0.         0.         0.24975586]
[6 6 6 3],[0.         1.         0.         0.         0.49804687]
[6 6 6 1],[0.         1.         0.         0.         0.49999785]
[6 6 6 5],[0.  0.  0.  0.  0.5]
[6 6 6 4],[0.       1.       0.       0.       0.484375]
[6 6 6 6],[0. 0. 0. 0. 0.]
[0 0 3 0],[0.01562362 0.00073167 0.         0.         0.00111968]
[0 0 1 0],[0.00343732 0.         0.         0.         0.00090929]
[0 0 7 0],"[9.88497234e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.13951887e-04]"
[0 0 5 0],"[2.10121217e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.84728973e-04]"
[0 0 5 3],[0.         0.         0.         0.         0.00180475]
[0 0 1 3],[0.00278448 0.00136485 0.         0.         0.0047474 ]
[0 0 7 3],[0.0020154  0.00066695 0.         0.         0.0020587 ]
[0 0 4 3],[0.01095881 0.00010202 0.         0.         0.00282525]
[0 0 0 3],"[1.56235107e-02 7.80556890e-06 0.00000000e+00 0.00000000e+00
 7.98103790e-04]"
[0 0 0 4],"[1.12819355e-04 4.94339205e-05 0.00000000e+00 0.00000000e+00
 4.17761710e-04]"
[0 0 0 1],[0.00014621 0.0002768  0.         0.         0.00029672]
[0 0 3 3],[0.0312495  0.         0.         0.         0.00424643]
[0 3 3 3],[0.06249998 0.         0.         0.         0.00933006]
