[0 0 0 0],[-2.54197998 -2.64648784 -2.49064214 -2.55287154]
[3 0 0 0],[-2.78538949 -2.377721   -2.37614019 -2.26884209]
[1 0 0 0],[-2.76296469 -2.77986178 -2.75687242 -2.7687437 ]
[4 0 0 0],[-2.60290834 -2.44837854 -2.44717227 -2.43917336]
[1 3 0 0],[-2.39080322 -2.71237632 -2.51087959 -2.65995939]
[1 1 0 0],[-2.94922239 -2.9653175  -2.84900647 -2.79859504]
[0 1 0 0],[-2.80311533 -2.33699196 -2.3726169  -2.60275385]
[0 7 0 0],[-2.02293042 -2.45990877 -2.11003719 -1.95510002]
[3 7 0 0],[-2.32339641 -2.44746421 -1.70257778 -1.82976913]
[1 7 0 0],[-2.42306952 -2.75877063 -2.31240704 -2.2535727 ]
[4 7 0 0],[-1.99527877 -2.25107003 -1.6406928  -1.68674508]
[7 7 0 0],[-2.27729774 -2.3290275  -1.64926561 -1.58170021]
[5 7 0 0],[-1.89153112 -1.59300012 -0.88625603 -0.77666729]
[1 1 3 0],[-2.73396695 -2.67848438 -2.74017818 -2.59895086]
[1 1 7 0],[-2.055768   -2.35311998 -2.49308325 -2.3355937 ]
[3 1 7 0],[-2.24996373 -2.24060824 -2.16419659 -1.89115815]
[4 1 7 0],[-1.85066235 -1.39802706 -1.84738666 -1.76938784]
[4 1 1 0],[-2.48246858 -2.56278875 -2.30351733 -2.31402398]
[1 7 7 0],[-1.86998477 -1.91943648 -2.02731326 -1.70992614]
[4 7 7 0],[-1.37201181 -1.43755695 -1.36756686 -1.09689292]
[1 6 7 0],[-0.92863227  0.         -0.88480479 -0.99974843]
[1 6 1 0],[-1.20419604  0.         -1.2453291  -1.1452091 ]
[1 6 4 0],[-1.10723523  0.         -0.77982466 -0.74006417]
[6 6 1 0],[ 0.          0.         -0.93265456 -1.15169445]
[6 6 4 0],[ 0.          0.         -1.12012645 -1.05349433]
[6 6 7 0],[ 0.          0.         -0.99449628 -0.99070191]
[6 6 8 0],[ 0.          0.         -1.1487162  -1.24180481]
[6 6 6 0],[ 0.          0.          0.         -1.11493486]
[6 6 6 3],[ 0.          0.          0.         -1.13912883]
[6 6 6 1],[ 0.          0.          0.         -1.15935498]
[6 6 6 7],[ 0.          0.          0.         -1.09308521]
[6 6 6 4],[ 0.          0.          0.         -1.07788207]
[6 6 6 6],[0. 0. 0. 0.]
[0 3 0 0],[-2.53676359 -2.55909896 -2.51301163 -2.63049704]
[0 5 0 0],[-1.06408637 -2.34258622 -1.02561011 -1.13071935]
[3 5 0 0],[-1.11069708 -1.37917165 -0.80853827 -0.77940721]
[4 5 0 0],[-1.1404376  -1.47394232 -0.60832549 -0.57564271]
[1 5 0 0],[-1.45250103 -2.20058631 -1.09882716 -1.17037532]
[0 4 0 0],[-2.37310202 -2.61886842 -2.33587879 -2.32258753]
[3 4 0 0],[-2.51545104 -2.52491711 -1.97203674 -1.91615175]
[7 4 0 0],[-2.33167979 -2.03189149 -1.60235736 -1.69026126]
[7 1 0 0],[-2.85899131 -2.90366888 -2.10895243 -2.10973026]
[4 1 0 0],[-2.52684679 -2.391654   -2.19096642 -2.22468918]
[4 4 0 0],[-2.36325388 -1.89740644 -1.80978114 -1.79069677]
[3 1 0 0],[-2.85353239 -2.97256273 -2.63567897 -2.53598519]
[3 3 0 0],[-2.45217012 -2.27370069 -2.35151705 -2.23225535]
[7 3 0 0],[-2.30017499 -2.32381618 -1.90359678 -1.8366263 ]
[5 1 0 0],[-2.16680215 -1.63930395 -1.33225441 -1.35050756]
[8 1 0 0],[-2.20957506 -2.39730622 -1.88386613 -1.70080683]
[6 1 0 0],[ 0.         -0.82885821 -1.08600085 -0.96363956]
[6 8 0 0],[ 0.         -0.51253225 -1.00138269 -0.97366297]
[6 6 0 0],[ 0.          0.         -0.98924539 -1.09276967]
[6 6 0 3],[ 0.          0.         -0.87438897 -1.18645747]
[6 6 0 1],[ 0.          0.         -0.97641639 -1.22865795]
[6 6 0 7],[ 0.          0.         -1.12175192 -1.21735248]
[6 6 3 0],[ 0.          0.         -1.0921516  -1.05941478]
[6 6 3 3],[ 0.          0.         -1.01627481 -0.98096167]
[6 6 3 4],[ 0.          0.         -0.96639666 -1.02222821]
[6 6 3 1],[ 0.          0.         -1.08919098 -1.17597528]
[6 6 3 5],[ 0.          0.         -0.92337158 -0.81189052]
[6 6 1 1],[ 0.          0.         -1.39651988 -1.23751375]
[6 6 7 1],[ 0.          0.         -1.15901388 -1.15538002]
[6 6 5 1],[ 0.          0.         -1.14699537 -1.21286237]
