[0 0 0 0],[179.86112165 162.92548942 148.97795223 175.83832619]
[3 0 0 0],[168.92478749 153.38613245 148.27841128 166.46092377]
[4 0 0 0],[173.04858786 155.82151973 146.93314343 175.52462482]
[1 0 0 0],[166.71271995 153.42110313 149.39474277 166.37912139]
[5 0 0 0],[172.27866595 125.38653363 138.73409525 136.8870783 ]
[1 3 0 0],[140.30228748 144.83561198  33.83408383  34.81540555]
[6 3 0 0],[  0.         124.38817305  92.04232702 114.89404809]
[6 1 0 0],[  0.         126.85737573  96.72644797 119.8837629 ]
[6 4 0 0],[  0.         118.97879935  93.15876664 128.09395878]
[6 4 0 3],[  0.         117.15124551  25.87080619 109.58355044]
[6 4 0 1],[  0.         111.77883684  75.75956069 120.77536433]
[6 1 0 1],[  0.         110.48301564  82.61847871 105.00732   ]
[6 1 0 4],[  0.         119.04774655  66.0957613  111.68172271]
[6 6 0 0],[ 0.          0.         68.87186957 72.36838438]
[6 6 0 3],[ 0.          0.         45.95033519 61.07995557]
[6 6 0 4],[ 0.          0.         47.63671027 64.10797951]
[6 6 0 1],[ 0.          0.         52.28077027 62.31859301]
[6 6 3 1],[ 0.          0.         43.16275399 19.67938996]
[6 6 3 4],[ 0.          0.         18.4130192  40.28818876]
[6 6 4 4],[ 0.          0.          0.         43.00574855]
[6 6 4 1],[ 0.          0.         37.98746954 52.90197422]
[6 6 4 3],[ 0.          0.         22.22417126 42.81064852]
[6 6 1 3],[ 0.          0.         47.03646642 30.70186793]
[6 6 1 4],[ 0.          0.         22.88273728 46.24435124]
[6 6 1 1],[ 0.          0.         37.77711547 47.11330014]
[6 6 4 6],[ 0.          0.         28.99225614  0.        ]
[6 6 1 6],[ 0.          0.         22.24357968  0.        ]
[6 6 0 6],[ 0.          0.         36.94632068  0.        ]
[6 6 3 6],[ 0.          0.         23.92336186  0.        ]
[6 6 6 6],[0. 0. 0. 0.]
[4 3 0 0],[147.3132838  137.22593698   6.83890309  31.44858148]
[0 3 0 0],[ 71.3372793  153.03320225  32.39336171  17.65297345]
[0 4 0 0],[141.79989862 156.06538222  23.5685448   21.46713761]
[0 1 0 0],[137.44023526 145.36712752  39.5881591   62.39797665]
[3 1 0 0],[146.27705835 133.86004236  12.76310318   2.5       ]
