[0 0 0 0],[33.8322968  30.5660082  30.89433429 30.24214856]
[3 0 0 0],[18.79608785 24.27055732 27.91647702 25.71032246]
[1 0 0 0],[18.25938111 29.9193254  23.13513275 22.30156959]
[4 0 0 0],[23.77513907 28.57825667 28.04393932 27.35071042]
[4 0 3 0],[18.03797659 17.20133278 22.9843814  18.19159927]
[1 0 3 0],[16.29545083 19.03299411 11.59125326 22.06866488]
[1 0 4 0],[16.50703541 18.67263118 19.18562319 18.13924455]
[1 0 4 3],[ 9.01905116 12.66697789  8.43080475 18.98138778]
[1 0 2 2],[19.36530617 22.42489321 18.47875944 20.58695487]
[1 0 4 4],[10.4673547  18.7680226  12.59116779 21.44877221]
[3 0 4 0],[15.30490295 21.73842954 18.68646373 18.66039323]
[3 0 3 0],[17.24937    17.19968755 12.23916552 17.930622  ]
[3 0 1 0],[19.34532261 20.60486819 16.58733642 18.32168068]
[6 0 4 0],[ 0.         11.42727937 13.16901105 17.94241124]
[6 0 1 0],[ 0.         16.36982324  6.13737565 14.49286003]
[6 0 3 0],[ 0.         11.85248154  8.20049251 11.21821247]
[6 0 1 3],[0.         9.4911594  9.06687565 2.26810097]
[6 0 1 1],[ 0.         10.10464453  1.20041286  0.98349792]
[6 0 1 4],[ 0.         10.38381935  6.63821456  9.66319393]
[6 0 3 4],[0.         9.13145335 1.6738622  1.4947314 ]
[6 0 3 1],[ 0.         11.30562393  7.31707955 -2.27709351]
[6 0 4 1],[0.         9.84196536 8.24431913 1.25215211]
[6 0 6 4],[ 0.         10.04293362  0.          6.8507007 ]
[6 0 6 1],[ 0.         10.0813214   0.         -2.25016685]
[6 0 6 6],[ 0.         10.69477313  0.          0.        ]
[6 3 6 6],[0.         1.38244004 0.         0.        ]
[6 1 6 6],[ 0.        50.0121714  0.         0.       ]
[6 4 6 6],[0.         8.79055834 0.         0.        ]
[6 6 6 6],[0. 0. 0. 0.]
[1 3 3 0],[ 7.55528495 10.46962416  6.3742773  13.4622701 ]
[1 1 3 0],[ 7.86196106  6.12453894 12.25466638 15.84448114]
[5 1 3 0],[ 4.75874624  7.43096232  8.61600185 11.88300207]
[5 1 1 0],[18.74499217 12.68084819  9.19696634 17.33312762]
[5 1 4 0],[10.88129674  7.11321078  7.39725085  6.14077505]
[5 3 4 0],[10.40192694  9.43196755  9.42141709 12.8857654 ]
[5 1 5 0],[ 7.10919916 10.3221554  10.91295407 10.46781996]
[4 1 4 0],[19.28801172 16.09472783 15.54877075 14.86138402]
[4 1 1 0],[10.27027877  7.02909083 11.02717369 13.19530951]
[4 4 0 0],[21.38023579 22.23570309 21.68446423 29.09150775]
[1 4 0 0],[21.09287927 18.08433059 25.38510006 20.92015325]
[2 2 0 0],[28.57248417 25.13666348 28.17792387 30.95019128]
[4 3 0 0],[21.12731911 16.5452629  18.13705494 20.29770163]
[1 0 0 3],[13.06221929 22.12883644 20.78381758 12.55871595]
[1 0 0 1],[ 7.50481998 18.80403117 23.80067358 17.46978937]
[1 0 0 4],[15.42061374 18.89637978 19.4035543  19.28799749]
[6 0 0 0],[ 0.         15.98610218 14.80205522 22.28605472]
[6 3 1 0],[0.         5.77673541 0.99607215 8.36224898]
[6 3 4 0],[0.         3.87412561 6.47018209 9.9823829 ]
[6 4 4 0],[ 0.          5.65938288  1.82603998 10.11863879]
[6 1 4 0],[ 0.          6.20007292 16.0765164  13.21045792]
[6 1 1 0],[ 0.          5.08642053 -0.64780672 12.35764867]
[6 2 2 0],[ 0.         11.79788747 12.16534657 18.34503983]
[6 1 5 0],[0.         0.92402131 0.05334105 7.21356497]
[6 4 5 0],[0.         4.72361721 8.02348851 9.72273255]
[6 4 0 0],[ 0.          6.74319733 11.07148202 11.52362799]
[6 4 0 3],[0.         6.09648197 8.71279827 3.18654861]
[6 4 0 4],[ 0.          8.74704398 12.29692982 10.08864651]
[6 4 0 1],[ 0.          6.51144706 10.61020957  1.10008898]
[6 1 0 4],[ 0.          7.51282956  9.87177433 10.40426531]
[6 3 0 1],[ 0.          5.08223542 10.24588206  1.31188304]
[6 3 0 4],[ 0.          6.51593442  9.62937029 12.3757032 ]
[6 3 3 4],[ 0.         -2.29696817 -1.80538526  1.61329578]
[6 3 1 4],[ 0.          0.57610602 -0.10430891 -0.92938394]
[6 4 1 4],[ 0.          5.73947425 -1.55137987  1.00875419]
[6 4 1 1],[ 0.         10.51563717 11.17512955  0.41996499]
[6 1 1 1],[0.         4.79102024 0.65630323 2.5721239 ]
[6 1 4 1],[0.         0.35357296 3.44114377 0.49542898]
[6 1 0 1],[0.         3.37246731 9.92238762 2.42482834]
[6 1 3 1],[ 0.         -0.31680234 -0.25982532  1.12081638]
[6 1 3 4],[ 0.         -2.47862138 -1.37107812 -0.17742285]
[6 1 1 4],[0.         4.13824225 3.16073586 0.84022903]
[0 3 0 0],[24.96490341 22.83734176 23.20406133 24.10439518]
[0 4 0 0],[24.98348161 27.81748631 25.69903274 28.54550651]
[0 4 0 3],[21.16872504 13.81996457 19.56667503 22.27643763]
[0 1 0 3],[17.25336802 14.62224901 22.07109599 19.21339272]
[0 1 0 1],[22.75106137 17.11523086 17.7719559  14.4969642 ]
[3 1 0 1],[20.60018549 11.77105878 17.54698469  8.53423226]
[3 3 0 1],[ 6.67012715  8.54180382 14.3187189   6.40745293]
[3 1 3 1],[15.46991678  7.11818351  2.39422711  5.64156556]
[1 1 3 1],[7.77423384 0.64518746 3.10057419 2.12290885]
[1 1 3 4],[3.68053839 3.41324264 4.65944473 2.44346076]
[4 1 3 4],[ 4.15415158  8.45755998  1.85469489 10.16136598]
[4 2 3 2],[12.70686187 18.38595755 13.45303284 17.06222184]
[4 2 1 2],[10.99588161 17.39148835 11.11199286 14.80898446]
[4 2 4 2],[17.9427864  17.56445321 23.08217299 19.35697286]
[0 2 4 2],[25.21952467 24.53118345 23.75659    23.08516222]
[0 1 4 4],[18.26536754 11.73682876 13.25011834 15.69981618]
[0 4 4 1],[20.45557368 19.94660761 14.81274822  8.81226888]
[0 3 4 1],[17.73542386 11.29852628  5.86580014 10.51242288]
[0 3 1 1],[11.38322925 14.95796089 18.22084302 14.17894939]
[0 1 1 1],[17.77426533  8.96040839 11.77946952 13.67714352]
[0 4 1 1],[16.10068006 15.62906172 17.63725773 15.25837715]
[0 4 1 4],[21.02683763 13.06439776 12.09338307 12.64667424]
[0 4 4 4],[17.36819926 14.10479026 18.16055573 17.95705195]
[0 5 4 1],[16.00803037 10.93359207 11.76361716  5.96223361]
[0 5 4 4],[17.48609748  9.86480975  6.14225634 14.37806526]
[0 5 4 0],[19.198851   17.69048393 14.18141585 19.07116721]
[3 5 4 0],[ 6.72102764 10.59927924  9.84222604 11.56718371]
[3 5 1 0],[ 9.57276782  8.21214219  9.81878085 10.84999561]
[1 5 1 0],[ 8.88707532 11.6111541   9.97217872 13.66301455]
[1 2 2 0],[20.46886324 23.27373322 21.70236879 20.46397978]
[1 4 4 0],[12.92807533 14.69580504 11.42480055 21.81429896]
[4 4 1 0],[12.79324444 17.89209099 18.89280466 13.03259108]
[5 4 1 0],[10.9406782   7.87451955 15.20434036 12.22950617]
[5 4 3 0],[ 9.95721181 11.74637058  8.11764258  9.68750118]
[1 4 3 0],[ 8.22801792 13.10202981 11.3996756  15.04051777]
[4 1 3 0],[ 9.93340848 10.54337223  7.55210868 15.87130037]
[4 4 3 0],[17.73759601  9.60761296 12.32038718 14.27484639]
[3 1 3 0],[11.3284109  14.05881204  7.0228536  12.82920062]
[3 1 6 0],[-0.01693467  4.45260741  0.          7.91693609]
[1 1 6 0],[2.33031896 5.85927985 0.         9.49189147]
[1 1 6 3],[-2.16160924  0.1700885   0.         -1.83217872]
[6 1 6 3],[ 0.         -0.30114209  0.         -0.01953299]
[6 1 6 1],[ 0.         -2.64897812  0.         -0.77690953]
[6 1 6 4],[ 0.          0.46400247  0.         26.41983017]
[6 1 6 0],[0.         7.35396045 0.         9.54040007]
[6 6 6 0],[ 0.          0.          0.         10.00669446]
[6 6 6 3],[0.         0.         0.         3.55376195]
[6 6 6 1],[ 0.          0.          0.         50.00393488]
[6 6 6 4],[0.         0.         0.         2.57039578]
[0 1 0 0],[22.96075239 21.46227334 26.96991798 25.63308736]
[3 1 0 0],[15.26432767 12.19400234 18.52476586 16.00171178]
[1 3 0 3],[ 8.00895578  7.66818074 17.13526889 13.05576901]
[1 1 0 3],[ 7.62324747  7.38783247 12.18024611  8.5128583 ]
[1 1 0 1],[ 7.6088823   6.62748689 11.598736   11.42942284]
[1 5 0 1],[ 8.24962217 11.40458601 11.976333   11.78411991]
[1 5 0 4],[ 6.34208047  9.93616423 11.52335624  6.01960898]
[6 5 0 4],[ 0.          7.82765059 11.13664979  6.40791897]
[6 5 0 3],[0.         1.29807526 9.001463   2.65849826]
[6 1 0 3],[0.         2.273899   9.50764027 3.81994869]
[6 0 0 4],[ 0.         19.73233987 15.64950373  9.39137818]
[6 0 4 4],[ 0.         13.64606806  6.56495791  6.02733253]
[6 3 1 1],[ 0.         -3.13690135 -2.49374813 -2.28401532]
[6 1 4 4],[ 0.         -0.34320095  5.90901343  0.49077905]
[6 4 4 1],[0.         5.42212747 5.00236068 0.18626758]
[6 4 6 4],[0.         3.49794016 0.         5.00679082]
[6 5 6 6],[ 0.        -1.1482591  0.         0.       ]
[0 0 0 3],[25.94513906 23.94658133 23.33834524 20.51370329]
[0 0 0 1],[22.99124646 28.63201659 24.46345562 17.6444294 ]
[0 0 0 4],[27.2925301  27.30169389 24.41038646 21.85227172]
[0 0 3 4],[18.37464717 20.63670503 13.65172279 15.94490608]
[0 0 3 0],[25.77589088 22.66024464 21.08644059 25.55505009]
[0 0 1 0],[27.01253962 22.80812919 16.52953449 22.81134972]
[0 0 1 3],[19.68541541 19.810415   12.87180628 14.59856754]
[0 0 4 3],[20.23792425 23.97046826 14.68968276 13.44080636]
[0 0 4 1],[19.79905437 18.75438554 15.41905598 15.4242086 ]
[0 0 1 1],[17.77125465 25.92857387 19.96507579 10.81371646]
[0 0 1 4],[18.55016665 22.52401556 16.83006216 14.89777623]
[0 0 1 5],[20.04734797 17.72529796 14.80150131 12.95089295]
[0 0 5 4],[21.70392989 18.55629986 17.41616252 17.37791345]
[0 0 5 1],[17.93694145 19.2321891  14.08931613 12.62508992]
[2 0 2 0],[27.35375559 29.14271243 27.48140146 25.95161217]
[1 0 1 0],[14.89701232 18.98818664 11.77400178 21.43700461]
[4 0 1 0],[14.34818435 19.58777168 15.11551902 20.49953971]
[4 0 4 0],[16.31332066 21.42198708 16.25791056 23.60750342]
[0 0 4 0],[27.27739568 26.19924109 20.41837597 20.45402637]
[0 0 6 0],[19.025456   21.91996488  0.         21.7627705 ]
[0 0 6 3],[12.24925393 18.44973404  0.          9.52777965]
[0 0 6 4],[12.32190567 15.8421773   0.          0.97885068]
[0 3 6 4],[8.92951885 4.91844085 0.         7.20755978]
[0 1 6 4],[10.53352927  2.20033937  0.          3.09613662]
[0 4 6 4],[11.25128265  5.90126025  0.          5.00532585]
[0 1 6 1],[13.14131642  0.8306721   0.          2.52777864]
[0 5 6 1],[11.40244828 -0.05510862  0.          0.31325547]
[0 2 6 2],[19.49173712 13.25078741  0.         16.91248198]
[0 0 6 1],[17.52107523 14.80010291  0.          8.33186766]
[0 3 6 1],[9.86070974 6.1003953  0.         3.97946504]
[0 3 6 6],[9.47602142 1.57604172 0.         0.        ]
[0 4 6 6],[10.09058188  1.4286212   0.          0.        ]
[0 1 6 6],[10.62237255  0.7693608   0.          0.        ]
[3 3 6 6],[-0.26050982 -2.51062508  0.          0.        ]
[1 3 6 6],[-2.53598084 -2.32624363  0.          0.        ]
[2 2 6 6],[13.76111734 10.14973773  0.          0.        ]
[1 1 6 6],[ 4.34977646 -1.06915872  0.          0.        ]
[1 5 6 6],[-0.60408314 -1.51321303  0.          0.        ]
[3 5 6 6],[0.06386652 3.42939578 0.         0.        ]
[3 0 0 1],[12.12662719 21.81280026 15.52801382 14.17580162]
[3 0 0 4],[14.66439102 19.75043858 19.64176687 16.75714858]
[0 4 3 0],[21.77905558 14.75136108 18.24821007 19.35483989]
[0 1 3 0],[16.94277344 12.97611335 13.58845697 20.96930048]
[0 3 3 0],[18.92000138 13.79409994 12.07594445 17.26833138]
[0 3 1 0],[15.96105677 17.44593807 11.59145234 18.9024412 ]
[0 1 1 0],[24.79260654 15.28722712 21.71828961 24.68999189]
[0 4 1 0],[20.9996468  16.24868285 20.5147254  19.33213458]
[0 4 4 0],[21.77579024 19.74621068 19.34400501 23.72956726]
[0 6 1 0],[14.84387592  0.         15.30639797 13.12925375]
[0 6 1 3],[8.69988986 0.         0.46911856 4.41613856]
[0 6 1 1],[8.61058868 0.         9.99529824 4.83532562]
[0 6 6 1],[8.80646034 0.         0.         5.40153344]
[0 6 6 5],[9.52535998 0.         0.         4.03509862]
[0 6 6 4],[10.27397298  0.          0.         12.98084555]
[0 6 6 0],[18.13801825  0.          0.         14.87509628]
[0 6 6 3],[9.83174292 0.         0.         3.08984515]
[3 6 6 3],[ 1.27698097  0.          0.         -4.43939947]
[1 6 6 3],[-2.21191317  0.          0.         -4.57234116]
[1 6 6 4],[ 9.3167206   0.          0.         -0.07469895]
[1 6 6 1],[ 3.69903652  0.          0.         -3.84610889]
[4 6 6 4],[1.4146301  0.         0.         2.25315108]
[4 6 6 1],[ 7.91839171  0.          0.         -3.88122658]
[4 6 6 5],[ 0.28907042  0.          0.         -0.72110131]
[3 0 0 3],[12.00700248 19.34669113 18.9056698  11.54768855]
[3 0 0 6],[ 9.37568207 16.10581914  8.56150307  0.        ]
[4 0 0 6],[10.60205161 14.58079481 12.89426048  0.        ]
