[0 0 0 0],[0.44937525 0.48911528 0.60291576 0.4759853 ]
[3 0 0 0],[1.40719441 0.29650301 0.49871116 0.28887503]
[1 0 0 0],[4.51206052 1.21009928 0.60828709 0.95017159]
[5 0 0 0],[0.89571833 0.02729394 0.         0.        ]
[4 0 0 0],[1.07685899 1.22286063 0.23097439 0.38258919]
[6 0 0 0],[0.         0.42236324 0.45791364 0.46828474]
[6 0 0 3],[0.         0.05883954 0.09936193 0.94370297]
[6 0 0 1],[0.         1.98930038 0.98767003 1.01782117]
[6 0 0 4],[0.         0.35085068 0.50898155 1.04446178]
[6 0 0 6],[0.         0.61347195 0.28494955 0.        ]
[6 0 3 6],[0.         0.1624215  0.72191635 0.        ]
[6 0 4 6],[0.         0.71307142 0.79311916 0.        ]
[6 0 1 6],[0.         1.07758603 3.40240892 0.        ]
[6 0 5 6],[0.         0.         0.78689618 0.        ]
[6 0 6 6],[0.        0.8574869 0.        0.       ]
[6 3 6 6],[0.         1.77598385 0.         0.        ]
[6 4 6 6],[0.         0.97881942 0.         0.        ]
[6 1 6 6],[0.        1.8190237 0.        0.       ]
[6 0 3 0],[0.         0.         3.27970383 0.        ]
[6 0 1 0],[0.         0.         4.19824096 0.        ]
[6 0 4 0],[0.         0.         1.75382061 0.        ]
[6 0 4 3],[0.         0.         0.         1.93114734]
[6 0 1 3],[0.         0.         0.         0.20018832]
[6 0 1 1],[0.         0.         0.437872   2.59809631]
[6 0 1 4],[0.         0.         0.00307023 0.2236346 ]
[6 0 4 4],[0.         0.         0.         3.41426403]
[6 3 3 6],[0.         0.28674274 1.93573751 0.        ]
[6 3 4 6],[0.         0.43684091 1.53828342 0.        ]
[6 3 1 6],[0.         1.74482229 1.66865343 0.        ]
[6 4 1 6],[0.         0.73738256 4.21488508 0.        ]
[6 1 1 6],[0.         0.91327267 0.99642672 0.        ]
[6 1 3 6],[0.         0.07632724 1.26102473 0.        ]
[6 1 4 6],[0.         0.99394502 0.97701314 0.        ]
[6 4 4 6],[0.         0.30370579 1.43553986 0.        ]
[6 4 3 6],[0.         0.11370911 1.63634388 0.        ]
[6 5 6 6],[0.         0.94359067 0.         0.        ]
[6 0 3 3],[0.         0.         0.00271704 1.34408663]
[6 0 3 4],[0.         0.         0.1021314  1.73830096]
[6 0 3 1],[0.         0.         0.24013143 4.88799206]
[6 0 6 0],[0.         0.31742211 0.         0.33792106]
[6 0 6 3],[0.         0.12194215 0.         0.77529523]
[6 0 6 1],[0.         0.93942497 0.         2.82782485]
[6 0 6 4],[0.         0.81339971 0.         0.62836615]
[6 0 0 5],[0.         0.         0.05664817 0.86300951]
[6 3 0 3],[0.         0.00488214 0.         1.52020854]
[6 3 0 1],[0.         1.42808694 0.10289744 3.62761883]
[6 3 0 4],[0.         0.33218783 0.         6.8742034 ]
[6 3 0 6],[0.         1.54945553 0.25952819 0.        ]
[6 3 5 6],[0.         0.01872864 1.24104127 0.        ]
[0 0 3 0],[0.1345908  0.         0.61240782 0.0373362 ]
[0 0 4 0],[0.05496421 0.25605917 0.49877313 0.00297526]
[0 0 1 0],[0.59371536 0.79410813 3.24863501 0.10252495]
[3 0 1 0],[1.69508226 0.         0.005      0.        ]
[3 0 4 0],[0.67388683 0.         0.         0.        ]
[4 0 1 0],[0.59735989 0.         0.         0.        ]
[0 0 5 0],[0.         0.04967265 1.20575357 0.        ]
[3 0 5 0],[0.1 0.  0.  0. ]
[1 0 5 0],[1.71 0.   0.   0.  ]
[4 0 5 0],[0. 0. 0. 0.]
[6 0 5 0],[0.         0.         0.81579955 0.        ]
[6 6 6 6],[0. 0. 0. 0.]
[1 0 0 3],[1.01130087 0.23193792 0.31784292 1.12104152]
[1 3 0 0],[1.28332704 1.28820261 0.         0.        ]
[4 3 0 0],[1.22946213 0.18099337 0.         0.        ]
[6 3 0 0],[0.         1.12032082 0.         0.        ]
[6 1 0 0],[0.         3.42519121 0.         0.        ]
[6 4 0 0],[0.         2.91183649 0.         0.        ]
[4 0 0 3],[1.37265957 0.         0.         0.75109436]
[1 0 0 1],[2.8144444  0.11564062 0.         0.77623601]
[3 0 3 0],[1.99394885 0.         0.12975191 0.        ]
[6 0 4 1],[0.         0.         0.         1.86239495]
[1 1 0 0],[1.08519046 0.53431655 0.         0.10056226]
[1 4 0 0],[0.69948803 1.94919926 0.06615827 0.        ]
