[0 0 0 0],[1.46368785 1.69244047 1.45044486 1.89162557]
[0 0 0 3],[1.26440079 1.64035028 1.42238708 0.90631372]
[0 0 0 1],[1.45243881 1.76766013 1.665602   0.94616351]
[0 0 0 4],[1.68850798 1.83455678 1.67811103 0.90762483]
[3 0 0 1],[0.86150092 0.41559922 0.54936611 0.42928364]
[1 0 0 1],[0.74607234 1.54309354 1.44509599 0.86672959]
[5 0 0 1],[0.9017038  0.         0.         0.40882617]
[4 0 0 1],[0.70383567 0.98067636 1.69444738 0.99772673]
[1 0 0 4],[0.86852991 1.65146389 0.75828768 0.92680983]
[6 0 0 4],[0.         0.97574497 1.53483205 0.7723654 ]
[6 0 0 1],[0.         1.64409706 1.3995522  0.92603493]
[6 0 0 3],[0.         0.2362884  1.09547171 0.77048177]
[6 0 0 6],[0.         1.58535886 1.53986701 0.        ]
[6 0 3 6],[0.         1.06429336 0.75062968 0.        ]
[6 0 4 6],[0.         1.16218274 0.61686823 0.        ]
[6 0 1 6],[0.         1.15085317 0.71094624 0.        ]
[6 3 0 6],[0.         0.620866   1.05987459 0.        ]
[6 3 3 6],[0.         0.07851941 0.17462659 0.        ]
[6 3 1 6],[0.         0.13390105 0.13462243 0.        ]
[6 3 4 6],[0.         0.22631569 0.07110945 0.        ]
[6 4 4 6],[0.         0.06540521 0.12244567 0.        ]
[6 1 4 6],[0.         0.21959656 0.08959696 0.        ]
[6 1 1 6],[0.         0.28485789 0.14539261 0.        ]
[6 1 6 6],[0.         0.23218261 0.         0.        ]
[6 3 6 6],[0.         0.13948801 0.         0.        ]
[6 4 6 6],[0.         0.13150882 0.         0.        ]
[6 6 6 6],[0. 0. 0. 0.]
[2 0 0 2],[0.62931746 0.21182405 0.10943505 0.78321868]
[3 0 0 4],[0.89894009 0.51922072 0.38593371 0.4072236 ]
[4 0 0 4],[0.72956281 1.65534955 0.7155821  0.73950022]
[6 0 0 0],[0.         1.25629569 1.38906244 1.63224243]
[6 0 0 5],[0.         0.12956919 0.11715274 0.79343001]
[6 3 0 0],[0.         0.64295928 0.11428366 0.23938717]
[6 4 0 0],[0.         0.71425971 0.81477868 1.36941809]
[6 4 0 3],[0.         0.18179495 0.79618487 0.39186216]
[6 4 0 4],[0.         0.58834854 1.1448524  0.4566551 ]
[6 1 0 6],[0.         0.68397836 1.23907959 0.        ]
[6 1 3 6],[0.         0.10042939 0.34694421 0.        ]
[6 4 1 6],[0.         0.10274319 0.07948903 0.        ]
[6 0 6 6],[0.         1.10324825 0.         0.        ]
[6 5 6 6],[0.         0.14711314 0.         0.        ]
[0 0 0 5],[0.44261245 0.55577781 0.74046148 0.90129682]
[0 0 0 6],[1.47524671 1.81744313 1.70243691 0.        ]
[3 0 0 6],[0.842781   0.55167865 0.37358828 0.        ]
[1 0 0 6],[1.01053231 1.6465427  1.29497517 0.        ]
[4 0 0 6],[0.76382249 1.46179637 1.05866743 0.        ]
[1 3 0 6],[0.43742107 0.67558501 1.08961125 0.        ]
[4 3 0 6],[0.48451752 0.6671346  0.28981977 0.        ]
[0 3 0 6],[0.82926407 0.81278413 1.57532993 0.        ]
[0 1 0 6],[1.39946999 0.89113868 1.5639502  0.        ]
