0,[0.72356759 0.82163249 0.9081303  0.88025353 0.        ]
1,[ 0.          0.          0.08584905 -0.095       0.        ]
2,[0.35791835 0.08469176 0.27057894 0.27257119 0.        ]
3,[0. 0. 0. 0. 0.]
4,[0.24384971 0.30143937 0.20641222 0.         0.        ]
5,[0. 0. 0. 0. 0.]
6,[0.14129409 0.         0.06789592 0.         0.        ]
7,[0. 0. 0. 0. 0.]
8,[0.30311357 0.32890888 0.37011482 0.41603355 0.        ]
9,[0. 0. 0. 0. 0.]
10,[0.      0.      0.10475 0.      0.     ]
11,[0. 0. 0. 0. 0.]
12,[0. 0. 0. 0. 0.]
13,[0. 0. 0. 0. 0.]
14,[0. 0. 0. 0. 0.]
15,[0. 0. 0. 0. 0.]
