[0 0 0 0],[-1.0415351  -0.97250093 -0.91385406 -0.68478859]
[3 0 0 0],[-1.25812618 -1.28689288 -1.27115088 -1.18713613]
[4 0 0 0],[-1.36634452 -1.35266926 -1.26584655 -1.37306043]
[1 0 0 0],[-1.60703707 -1.36860177 -1.5725137  -1.62013903]
[0 3 0 0],[-1.18498933 -1.07931207 -1.50504565 -1.40781986]
[0 1 0 0],[-1.50303899 -1.20758911 -1.1977639  -1.32650602]
[3 1 0 0],[-1.24978319 -1.89481575 -1.65532974 -1.8047073 ]
[1 1 0 0],[-1.1091027  -1.57433347 -1.99903467 -1.96126932]
[4 1 0 0],[-1.44115132 -1.26780431 -1.88792778 -1.8280924 ]
[3 4 0 0],[-1.22914777 -1.49243383 -1.4474081  -1.46018789]
[7 4 0 0],[-1.18055083 -1.64540881 -1.33384615 -1.0993955 ]
[7 1 0 0],[-1.6526322  -0.77163078 -1.73953411 -1.6280082 ]
[4 4 0 0],[-1.09039019 -1.34234198 -1.51954599 -1.18579192]
[4 4 3 0],[-1.66655861 -1.22723164 -1.45883408 -1.60009964]
[6 4 3 0],[ 0.         -1.09256828 -1.34749426 -1.33276408]
[6 7 3 0],[ 0.         -1.10817315 -0.98628829 -0.97899262]
[6 4 1 0],[ 0.         -1.12769554 -0.96790338 -1.32875598]
[6 1 1 0],[ 0.         -1.58613768 -1.59136518 -1.4876335 ]
[6 0 1 0],[ 0.         -1.16873931 -0.76467007 -1.24376769]
[6 0 7 0],[ 0.         -0.97116698 -0.68270208 -0.73254788]
[6 3 7 0],[ 0.         -1.25742411 -0.73684937 -1.28501472]
[6 7 7 0],[ 0.         -0.97186899 -0.86010489 -1.18985887]
[6 4 7 0],[ 0.         -0.74306261 -1.37172826 -1.1340032 ]
[6 1 7 0],[ 0.         -1.59758644 -0.87412343 -1.24275886]
[6 1 4 0],[ 0.         -1.70584286 -1.33356954 -1.25070114]
[6 1 1 3],[ 0.         -1.32303684 -1.56354981 -1.61420492]
[6 1 1 1],[ 0.         -1.07822822 -1.49633506 -1.63164097]
[6 4 1 1],[ 0.         -1.31322032 -0.99369022 -1.2922009 ]
[6 7 1 1],[ 0.         -1.49627784 -1.46760537 -1.31684565]
[6 4 4 1],[ 0.         -1.46617189 -1.37030488 -1.05763476]
[6 7 4 1],[ 0.         -0.8821932  -1.54104011 -1.2741115 ]
[6 8 4 1],[ 0.         -1.35382574 -1.37424828 -1.47170448]
[6 6 4 1],[ 0.          0.         -1.29173018 -0.89125182]
[6 6 4 3],[ 0.          0.         -0.83647298 -1.37277117]
[6 6 8 3],[ 0.          0.         -1.24615195 -1.46703876]
[6 6 8 1],[ 0.          0.         -1.50173996 -1.66044448]
[6 6 8 7],[ 0.          0.         -1.47159063 -1.43804206]
[6 6 8 4],[ 0.          0.         -1.03002533 -1.44362605]
[6 6 6 4],[ 0.         0.         0.        -1.1142428]
[6 6 6 1],[ 0.          0.          0.         -1.13897342]
[6 6 6 7],[ 0.         0.         0.        -1.1588693]
[6 6 6 8],[ 0.          0.          0.         -1.00976277]
[6 6 6 6],[0. 0. 0. 0.]
[0 0 3 0],[-1.40074091 -1.53250494 -1.01251383 -0.97143895]
[0 0 1 0],[-1.474088   -1.60125147 -1.4364325  -1.61159568]
[3 0 1 0],[-1.62747352 -1.78641506 -1.23408212 -1.92018222]
[7 0 1 0],[-1.60025635 -1.66803829 -1.47865109 -1.48998339]
[1 0 1 0],[-1.97363056 -2.41369613 -2.02518002 -2.12777648]
[4 0 1 0],[-1.53497724 -1.35983172 -1.82481485 -1.73162352]
[4 0 4 0],[-1.84181318 -1.37836026 -0.86528033 -1.39940723]
