[0 0 0 0],[-0.91449339 -0.80338427 -0.98421117 -0.84222447]
[3 0 0 0],[-1.04964493 -0.78682647 -0.90095088 -0.97119023]
[3 0 0 3],[-0.81861943 -0.8277399  -0.85321788 -0.88935498]
[3 3 0 3],[-0.99021485 -0.97187216 -0.72501087 -0.89704381]
[3 4 0 3],[-1.05627236 -0.99456967 -0.78873333 -1.01210834]
[3 1 0 3],[-1.06507648 -1.15744231 -1.03227719 -1.15042803]
[1 1 0 3],[-1.20570421 -1.19405555 -1.19855599 -1.06231469]
[2 2 0 3],[-0.61309722 -0.60102054 -0.29085267 -0.69918437]
[1 1 0 4],[-1.14304213 -1.16831317 -1.1853731  -1.22509999]
[7 1 0 4],[-0.9648474  -0.9260052  -0.69919099 -0.91911635]
[4 1 0 4],[-1.1509832  -1.09534283 -0.98984958 -1.18122956]
[7 1 0 0],[-1.12687698 -1.24266427 -1.04823515 -0.90120506]
[1 1 0 0],[-1.30224684 -0.89935453 -1.17477848 -1.20679048]
[4 1 0 0],[-1.16511361 -1.04614085 -1.10307043 -1.02689403]
[1 4 0 0],[-1.158804   -1.48994505 -0.97839608 -1.06139711]
[8 1 0 0],[-1.1936228  -1.35052561 -1.05596797 -1.12231455]
[8 4 0 0],[-1.00007273 -1.28496081 -0.71672321 -0.63463552]
[8 7 0 0],[-1.19073715 -1.20596608 -0.50376751 -0.64255866]
[8 0 0 0],[-1.39508886 -1.08015705 -1.14293109 -1.11134893]
[8 3 0 0],[-0.65755479 -1.15530471 -0.98450974 -0.8786002 ]
[6 4 0 0],[ 0.         -0.63624863 -0.8465624  -0.86259883]
[6 1 0 0],[ 0.         -0.58768671 -0.83465772 -0.93853064]
[6 7 0 0],[ 0.         -0.76445914 -0.86841972 -0.87092319]
[6 7 3 0],[ 0.         -0.86668328 -0.75934284 -0.70172241]
[6 8 3 0],[ 0.         -1.26517782 -1.29302084 -0.9489684 ]
[6 6 3 0],[ 0.          0.         -0.99154494 -1.02023703]
[6 6 1 0],[ 0.          0.         -1.07045845 -1.05395245]
[6 6 0 0],[ 0.          0.         -1.07123068 -0.83383342]
[6 6 4 0],[ 0.          0.         -1.24094353 -0.95804748]
[6 6 5 0],[ 0.          0.         -0.9481114  -0.93931164]
[6 6 7 0],[ 0.          0.         -1.01213647 -1.08843218]
[6 6 4 3],[ 0.          0.         -1.12431795 -0.85404362]
[6 6 3 3],[ 0.          0.         -1.01201133 -0.79671228]
[6 6 8 3],[ 0.          0.         -1.16758891 -1.02895833]
[6 6 8 1],[ 0.          0.         -1.44224591 -0.74426409]
[6 6 8 4],[ 0.         0.        -1.1905651 -0.7181704]
[6 6 8 0],[ 0.          0.         -1.17492654 -1.06756915]
[6 6 6 0],[ 0.          0.          0.         -1.02364062]
[6 6 6 3],[ 0.          0.          0.         -0.93767594]
[6 6 6 1],[ 0.          0.          0.         -0.87408882]
[6 6 6 5],[ 0.          0.          0.         -0.99860117]
[6 6 6 4],[ 0.          0.          0.         -0.92952305]
[0 0 0 3],[-0.81132819 -0.90858046 -0.90775916 -1.01540961]
[0 0 0 1],[-1.1107601  -1.09571387 -1.11463182 -0.89432478]
[0 0 0 7],[-0.83780244 -0.89663001 -0.96761302 -1.19270654]
[3 0 0 7],[-0.78447278 -0.66756155 -0.79043096 -1.07828247]
[1 0 0 7],[-0.78611623 -0.95144074 -0.92048145 -1.10349321]
[4 0 0 7],[-0.98110069 -0.81680468 -0.70657406 -0.81569922]
[4 3 0 7],[-0.74036765 -0.70626578 -0.69537036 -0.8281145 ]
[0 3 0 7],[-0.71938501 -0.95259076 -0.70383958 -1.10158421]
