[0 0 0 0],[-0.75423116 -0.9892784  -0.98383019 -0.93803583]
[3 0 0 0],[-0.8055477  -0.90244651 -1.01496419 -0.96158528]
[7 0 0 0],[-0.88506823 -1.13438207 -0.99664996 -1.02281921]
[1 0 0 0],[-0.66752051 -1.17102743 -1.0439464  -1.07195824]
[8 0 0 0],[-2.00938265 -1.53280532 -1.47215385 -1.41671422]
[6 0 0 0],[ 0.         -0.94771436 -0.79471561 -0.492452  ]
[6 0 0 3],[ 0.         -0.67135787 -0.82755568 -0.46913513]
[6 0 0 1],[ 0.         -0.68337096 -1.02266885 -0.33698827]
[6 0 0 7],[ 0.         -0.83293784 -0.77363466 -0.52404356]
[6 0 0 4],[ 0.         -0.93670732 -0.99634684 -0.469078  ]
[6 0 3 7],[ 0.         -1.04872408 -1.06917435 -0.76038339]
[6 0 3 0],[ 0.         -0.82157871 -0.73980161 -0.84121283]
[6 0 4 0],[ 0.         -0.83874461 -0.76301785 -0.8528431 ]
[6 0 3 3],[ 0.         -0.9907265  -0.85797326 -0.9023847 ]
[6 0 3 4],[ 0.         -0.71991151 -0.976135   -1.05456431]
[6 0 4 1],[ 0.         -1.0843984  -1.15941641 -1.07062159]
[6 0 1 1],[ 0.         -1.29906606 -1.09364319 -1.2261205 ]
[6 0 1 5],[ 0.         -1.1920332  -1.20922068 -1.19788463]
[6 0 1 0],[ 0.         -0.93119962 -0.91675663 -1.00859208]
[6 0 1 3],[ 0.         -1.19951549 -1.13475621 -0.88746135]
[6 0 1 4],[ 0.         -1.14945279 -1.06523387 -1.03903113]
[6 0 4 4],[ 0.         -0.74949169 -0.86038354 -0.9683879 ]
[6 0 2 2],[ 0.         -0.88181765 -0.64815926 -1.1465997 ]
[6 0 7 4],[ 0.         -0.71667523 -0.88966318 -1.06680431]
[6 0 7 1],[ 0.         -0.91286529 -1.15682873 -0.66508835]
[6 0 6 4],[ 0.         -1.0989766   0.         -1.08137269]
[6 0 6 3],[ 0.         -1.13975776  0.         -1.03041587]
[6 0 6 7],[ 0.         -0.88591672  0.         -1.01636264]
[6 0 6 6],[ 0.         -0.84435099  0.          0.        ]
[6 3 6 6],[ 0.         -0.95790742  0.          0.        ]
[6 1 6 6],[ 0.        -0.9617711  0.         0.       ]
[6 7 6 6],[ 0.         -0.93020407  0.          0.        ]
[6 6 6 6],[0. 0. 0. 0.]
[4 0 0 0],[-1.15465285 -1.12868535 -1.11112693 -1.0514205 ]
[5 0 0 0],[-0.57273154 -0.81302412 -1.05902543 -0.98178653]
[6 3 0 0],[ 0.         -0.87102071 -1.03338212 -1.03636487]
[6 4 0 0],[ 0.         -1.19208441 -1.00815755 -0.98506269]
[6 4 0 3],[ 0.         -1.12762405 -0.89400566 -0.8260582 ]
[6 4 0 1],[ 0.         -1.14076427 -1.09859767 -0.69062121]
[6 1 0 1],[ 0.         -1.27818447 -1.32005012 -0.84518984]
[6 3 0 1],[ 0.         -0.67750665 -1.13405809 -1.2931518 ]
[6 3 0 5],[ 0.         -0.66974293 -1.0619193  -1.10812391]
[6 3 0 4],[ 0.         -0.75586187 -1.04077781 -1.10049823]
[6 7 0 1],[ 0.         -0.99892032 -1.03884382 -1.15562077]
[6 4 0 4],[ 0.         -1.06135191 -0.97947485 -0.93121825]
[6 4 0 7],[ 0.         -1.03753125 -0.92529068 -0.58047808]
[6 1 0 4],[ 0.         -1.22006984 -1.080327   -0.65077533]
[6 1 0 0],[ 0.         -0.65749613 -1.21582144 -1.01342022]
[6 3 0 7],[ 0.         -0.72961643 -1.01273178 -1.07699437]
[6 0 3 1],[ 0.         -1.02998506 -1.0434638  -1.25963827]
[6 3 3 1],[ 0.         -1.22661264 -1.1987783  -0.93057128]
[6 3 3 0],[ 0.         -0.89416301 -1.02964761 -1.02872219]
[6 3 3 3],[ 0.         -1.01664348 -1.07995831 -1.09647872]
[6 3 3 4],[ 0.         -0.77851268 -1.05986773 -1.0828828 ]
[6 3 1 4],[ 0.         -1.13311088 -0.81061061 -1.14070709]
[6 3 1 1],[ 0.         -1.24248503 -0.89417792 -1.27990111]
[6 7 1 1],[ 0.         -0.83531111 -1.13415082 -1.31944024]
[6 7 1 7],[ 0.         -1.08020329 -1.08468896 -0.91522571]
[0 3 0 0],[-0.98550872 -1.15790385 -1.02422746 -1.03563906]
[0 7 0 0],[-1.04503515 -1.03887314 -1.04922557 -1.08399956]
[0 1 0 0],[-1.44538564 -0.88672266 -1.36550013 -1.36895136]
[0 5 0 0],[-1.01092842 -0.99955198 -1.09146785 -1.03938644]
[0 4 0 0],[-1.02402487 -0.91633717 -1.05963956 -1.11118641]
[0 0 3 0],[-1.02834401 -0.84297904 -1.00471452 -1.15874092]
[0 0 1 0],[-1.13981107 -1.11268    -1.40338322 -1.18442486]
[3 0 1 0],[-1.0584933  -1.53245679 -1.43558931 -1.35406574]
[4 0 1 0],[-1.32120634 -1.44512912 -1.43561971 -1.42596527]
[1 0 1 0],[-1.76446575 -1.5714393  -1.51464308 -1.49878915]
[4 3 1 0],[-1.48806537 -1.42189247 -1.44282834 -1.20350969]
[1 3 1 0],[-1.4114468  -1.38098464 -1.68480289 -1.62076744]
[1 4 1 0],[-1.36173205 -1.58891283 -1.57877689 -1.34018914]
[1 1 1 0],[-1.41130573 -1.77142833 -1.87786801 -1.58883766]
[4 1 1 0],[-1.47338644 -1.55528428 -1.54971419 -1.49246194]
[4 1 4 0],[-1.47317656 -1.15247525 -1.52051005 -1.28910429]
[1 1 4 0],[-1.29421774 -1.63534482 -1.66452804 -1.3056648 ]
[4 7 1 0],[-0.95813397 -1.37021811 -1.16733637 -1.22312019]
[1 7 1 0],[-0.9196516  -1.61203759 -1.4449919  -1.25571192]
[4 1 3 0],[-1.48568695 -1.44662443 -1.29356366 -1.39753256]
[4 7 3 0],[-1.33626546 -1.40755364 -1.34925081 -1.16062969]
[1 7 3 0],[-1.33974583 -1.25209652 -1.33321005 -1.21404645]
[4 7 7 0],[-1.03282545 -1.03553653 -0.91425641 -0.8861501 ]
[4 1 7 0],[-1.35725251 -1.43567345 -1.46144217 -1.11990933]
[4 4 7 0],[-1.33560409 -1.34299261 -1.35122299 -1.17625322]
[7 4 7 0],[-1.08785593 -1.08270621 -0.92044448 -0.93834327]
[8 4 7 0],[-1.32601934 -1.27905786 -1.34807822 -1.16911352]
[8 1 7 0],[-1.57747262 -1.46522622 -1.50895515 -1.24911435]
[8 1 3 0],[-1.23317708 -1.89729496 -1.98142395 -1.8028303 ]
[8 8 3 0],[-0.96614704 -0.96100501 -0.95027437 -0.58604544]
[8 8 1 0],[-1.17311264 -0.70332823 -1.1727747  -1.00511231]
[8 8 4 0],[-0.60479263 -0.9267407  -0.88311469 -0.19342893]
[8 8 0 0],[-1.35302023 -1.29178882 -0.87106286 -0.94527261]
[6 8 0 0],[ 0.         -0.84330469 -1.07158201 -1.10540396]
[6 8 0 3],[ 0.         -1.31731733 -1.20284575 -1.27175605]
[6 8 0 1],[ 0.         -0.9712349  -1.47310456 -1.38409433]
[6 8 0 7],[ 0.         -0.83198218 -1.27231029 -1.18789321]
[6 6 0 0],[ 0.          0.         -0.95946532 -0.83794925]
[0 0 0 3],[-1.00775832 -1.08406776 -0.93562074 -0.97110545]
[0 0 0 1],[-1.18505306 -1.36577123 -1.35577653 -0.6559155 ]
[3 0 0 1],[-1.06763549 -1.43834181 -1.46987235 -1.59178733]
[1 0 0 1],[-1.54453853 -1.64191687 -1.71487224 -1.33603961]
[4 0 0 1],[-1.42998044 -1.51611713 -1.56669336 -1.19329529]
[1 0 0 7],[-1.54176457 -1.36236463 -1.38371075 -1.39069189]
[4 0 0 7],[-1.32825259 -1.18177667 -1.10939403 -1.50614388]
[2 0 0 2],[-1.320024   -0.82338804 -1.03146262 -1.33664257]
[1 0 0 4],[-1.533886   -1.49731516 -1.4571959  -0.90525882]
[5 0 0 4],[-1.3375264  -1.01122359 -0.82981111 -1.26076363]
[1 3 0 4],[-1.47054493 -1.31060692 -1.33208018 -1.5135611 ]
[3 3 0 4],[-1.34160116 -1.39867768 -1.04049621 -1.34748237]
[5 3 0 4],[-0.94605725 -0.9382316  -0.77824958 -0.99910639]
[1 3 0 0],[-1.24443477 -1.01403106 -1.30721457 -1.29519206]
[1 1 0 0],[-1.19955077 -0.57469792 -1.58078073 -1.50118477]
[8 1 0 0],[-2.02591637 -1.68587453 -1.83372852 -2.00284467]
[6 5 0 0],[ 0.         -0.94044694 -0.70622717 -0.95760914]
[6 7 0 0],[ 0.         -0.93567196 -0.60987064 -0.89316058]
[6 7 0 3],[ 0.         -0.80562228 -0.92672362 -1.06309105]
[6 7 0 7],[ 0.         -0.92656731 -1.01786018 -1.0671627 ]
[6 1 0 7],[ 0.         -1.14917183 -0.98749012 -0.68963338]
[6 8 0 4],[ 0.         -1.11653233 -1.18156168 -1.18507229]
[6 6 0 4],[ 0.          0.         -0.77521134 -0.93142514]
[6 6 0 3],[ 0.          0.         -0.92038223 -0.93576969]
[6 6 0 7],[ 0.          0.         -0.83368556 -0.83145537]
[6 6 0 1],[ 0.          0.         -1.26371813 -0.97673711]
[6 6 3 3],[ 0.          0.         -0.83840283 -1.25166458]
[6 6 3 1],[ 0.          0.         -1.1774392  -0.88646689]
[6 6 3 4],[ 0.          0.         -0.77354526 -1.0276577 ]
[6 6 4 4],[ 0.          0.         -1.09457281 -0.83087213]
[6 6 1 4],[ 0.          0.         -1.21080606 -0.67500944]
[6 6 3 0],[ 0.          0.         -1.00324477 -0.91443413]
[6 6 7 0],[ 0.          0.         -0.71890564 -1.00770006]
[6 6 1 0],[ 0.          0.         -0.88240913 -1.27101306]
[6 6 4 0],[ 0.          0.         -0.84639373 -0.82280631]
[6 6 1 3],[ 0.          0.         -1.0723184  -1.22521262]
[6 6 1 1],[ 0.          0.         -1.03616498 -1.06826784]
[6 6 4 1],[ 0.          0.         -0.99837207 -0.78451494]
[6 6 4 7],[ 0.          0.         -1.12376244 -0.58029953]
[6 6 4 5],[ 0.          0.         -0.97514373 -0.78500659]
[6 6 2 2],[ 0.          0.         -0.78229851 -1.08034485]
[6 6 3 7],[ 0.          0.         -1.12712602 -0.77970863]
[3 1 0 0],[-0.72425608 -1.1950784  -1.49428251 -1.55786404]
[3 4 0 0],[-1.31190283 -1.05966485 -1.2142765  -1.21791957]
[4 4 0 0],[-1.36978555 -1.38824343 -1.2264322  -1.22117249]
[4 1 0 0],[-0.72475067 -1.40322882 -1.29462521 -1.39001466]
[5 1 0 0],[-1.164213   -0.72568625 -0.99754656 -1.38674222]
[7 1 0 0],[-0.79715554 -1.28802765 -1.34637543 -1.43771074]
[1 4 0 0],[-0.92669814 -1.16771409 -1.34511298 -1.45906827]
[7 4 0 0],[-0.97285411 -1.34213999 -1.27819506 -1.16365232]
[6 0 7 0],[ 0.         -0.80398183 -0.74722797 -0.89909717]
[6 0 4 3],[ 0.         -0.90244593 -1.07797228 -0.77920586]
[6 0 5 1],[ 0.         -1.23214841 -1.25634086 -1.2321378 ]
[6 0 5 7],[ 0.         -0.98184857 -1.17465364 -1.0225822 ]
[6 0 5 5],[ 0.         -0.77512085 -1.09064623 -0.8761179 ]
[6 0 4 5],[ 0.         -1.01534844 -0.65897129 -0.91273565]
[6 0 4 7],[ 0.         -0.90522817 -1.07889233 -0.79399152]
[6 3 4 1],[ 0.         -1.10896336 -0.8297971  -0.95249773]
[6 3 2 2],[ 0.         -0.84856838 -1.02147118 -0.90379833]
[6 3 4 6],[ 0.         -0.89770829 -1.09312167  0.        ]
[6 3 1 6],[ 0.         -1.19321811 -1.40918242  0.        ]
[6 4 6 6],[ 0.         -1.00824333  0.          0.        ]
[6 5 6 6],[ 0.         -1.03724127  0.          0.        ]
[6 8 6 6],[ 0.         -0.75611653  0.          0.        ]
[3 5 0 0],[-1.22374794 -1.12970853 -0.88438772 -0.92688882]
[1 5 0 0],[-1.36151272 -1.45553344 -1.29890913 -1.2625947 ]
[3 7 0 0],[-1.08631402 -1.18577305 -1.19584363 -1.07379008]
[1 7 0 0],[-1.1452407  -0.9116179  -1.16113154 -1.46378997]
[1 6 0 0],[-0.45937289  0.         -1.09327244 -1.08317589]
[1 6 0 3],[-1.1791628   0.         -1.26551281 -0.71303672]
